GEOID,Female.,Age.5.65.,X.15property.,nodiploma.,X.livingalone,X.minority,X.unemployment,X.language,X.renthouse,Novehicle.,X.noinsurance,X.disability,X.computer,X.nointernet,X.nophone,comfa,comfanormal,facility,facilitynormal,NDVI,ndvi-,road,roadnormal,green,green-,X.building,health,,Zscore,,
40027201610,0.493767313,0.186057248,0.039445374,0.050171393,0.073646209,0.381578947,0.032354703,0.016711723,0.041877256,0,0.034164358,0.058171745,0.010108303,0.007220217,0,200.9875658,0.264233929,1988.13352,0.258873351,0.556776375,0.443223625,0.001948414,0.092156857,0.846998474,0.153001526,0.031448469,0.045927724,2.71414027,-1.654910227,,
40027201611,0.459756098,0.18902439,0.041056911,0.06381828,0.068836045,0.383739837,0.097689076,0.017605634,0.220275344,0,0.083881579,0.166118421,0.013767209,0.006257822,0,203.0691372,0.359514309,631.8592572,0.075021889,0.509731814,0.490268186,8.50E-04,0.038362082,0.660847167,0.339152833,0.095815992,0.080261969,3.290223905,-1.04073351,,
40027201612,0.493513144,0.25025606,0.062649368,0.104510942,0.10217681,0.380846705,0.066738661,0.004946867,0.285206575,0.006003752,0.103135172,0.223059791,0.039537983,0.061750333,0.02665482,206.0221931,0.494685405,487.6771155,0.055477097,0.44390541,0.55609459,3.40E-04,0.013384855,0.39765861,0.60234139,0.203518316,0.038470635,4.174959271,-0.097495705,,
40027201700,0.47616975,0.174972797,0.015442312,0.081228014,0.026841019,0.335799782,0.020128088,0.007100592,0.050240881,0.012720558,0.035832051,0.078478787,0.002064694,0.023399862,0,201.7113706,0.297364859,2869.051647,0.378287315,0.60412665,0.39587335,0.001867571,0.088197575,0.867139975,0.132860025,0.016517238,0.099706055,2.749225604,-1.617504902,,
40027201801,0.576068734,0.318105616,0.003772003,0.060378274,0.244707041,0.354987427,0.010673624,0.057368309,0.029542097,0.01048218,0.052808047,0.109597653,0.014771049,0.028557361,0.015263417,204.0899458,0.406240081,560.7209699,0.065378649,0.520421748,0.479578252,7.48E-04,0.033366636,0.580555168,0.419444832,0.124964464,0.041226165,3.457281911,-0.862628923,,
40027201802,0.526450512,0.316837315,0.063046757,0.083601286,0.209039548,0.265642776,0.02688172,0.023601399,0.337099812,0.05661435,0.085852479,0.178657799,0.104205901,0.124921532,0.020087884,206.8459591,0.532391888,390.5381029,0.042309296,0.431900472,0.568099528,3.96E-04,0.016127452,0.379811805,0.620188195,0.179706009,0.051179039,4.432542478,0.177119991,,
40027201902,0.474257426,0.184950495,0.054269753,0.054143366,0.07190895,0.292475248,0.021823472,0.021148663,0.334712882,0,0.102178218,0.097029703,0.040351785,0.051733057,0.025349198,208.4218073,0.604523651,314.4020105,0.031988572,0.416165644,0.583834356,3.17E-04,0.012258431,0.332834481,0.667165519,0.197145436,0.045791962,3.969040144,-0.317031075,,
40027201903,0.45938276,0.188719404,0.018155927,0.095518334,0.225570033,0.512947854,0.019933555,0.058202983,0.284201954,0.005325444,0.109025271,0.091696751,0.041530945,0.050488599,0.0252443,207.8164242,0.576813272,450.1999337,0.050396831,0.469312129,0.530687871,5.03E-04,0.021367773,0.390428212,0.609571788,0.163306298,0.061380725,4.199468672,-0.07136564,,
40027201904,0.550205761,0.230452675,0.079012346,0.071773988,0.22136011,0.329218107,0.01511335,0.047346072,0.336376084,0.00526118,0.105415461,0.186854072,0.044728435,0.073482428,0.006846189,208.6320957,0.614149244,517.4964696,0.059519297,0.416523978,0.583476022,3.63E-04,0.014511279,0.332446022,0.667553978,0.207787187,0.041213571,4.491656836,0.24014324,,
40027202002,0.474802372,0.20256917,0.098441751,0.102775236,0.139079334,0.461709486,0.021396731,0.01532567,0.561214496,0,0.154698917,0.151423532,0.08374143,0.147894221,0,204.7914796,0.438351594,581.2920295,0.068167184,0.451917251,0.548082749,8.49E-04,0.038313107,0.453886428,0.546113572,0.108650166,0.043614515,4.406365233,0.149211796,,
